,class,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM
244,com.google.javascript.jscomp.jsonml.NodeUtil,4,0,17,0,4,0,0,2,6,16.75,186,26.571428571428573
245,com.google.javascript.jscomp.jsonml.JsonMLError,2,5,5,0,1,0,0,1,7,4.0,127,63.5
246,com.google.javascript.jscomp.graph.LinkedDirectedGraph,66,13,176,1,11,4,0,3,10,13.045454545454545,217,1.7222222222222223
247,com.google.javascript.jscomp.graph.DiGraph,21,0,25,0,1,0,0,1,10,16.19047619047619,280,140.0
248,com.google.javascript.jscomp.graph.GraphReachability,3,6,20,1,7,2,0,2,4,9.333333333333334,168,12.923076923076923
249,com.google.javascript.jscomp.graph.FixedPointGraphTraversal,5,2,32,0,12,4,0,1,8,15.0,295,15.526315789473685
250,com.google.javascript.jscomp.graph.Graph,29,7,62,1,6,2,0,2,30,12.862068965517242,798,19.0
251,com.google.javascript.jscomp.graph.GraphPruner,2,1,39,0,23,9,0,1,2,7.5,181,5.838709677419355
252,com.google.javascript.jscomp.graph.LinkedUndirectedGraph,53,11,138,1,14,5,0,4,6,12.50943396226415,162,1.3728813559322033
253,com.google.javascript.jscomp.graph.UndiGraph,6,0,6,0,0,0,0,0,5,22.166666666666668,171,0.0
254,com.google.javascript.jscomp.graph.StandardUnionFind,13,7,63,2,14,3,0,7,13,8.76923076923077,349,5.453125
255,com.google.javascript.jscomp.graph.GraphColoring,7,4,39,0,15,3,0,2,6,8.571428571428571,306,10.2
256,com.google.javascript.jscomp.regex.CharRanges,18,3,48,0,48,11,0,4,6,8.61111111111111,288,1.352112676056338
257,com.google.javascript.jscomp.regex.RegExpTree,123,35,611,0,241,43,0,31,25,12.1869918699187,432,0.4071630537229029
258,com.google.javascript.jscomp.regex.CaseCanonicalize,4,6,31,0,11,4,0,3,9,16.25,594,16.5
259,com.google.javascript.jscomp.testing.TestErrorReporter,5,4,9,1,5,1,0,1,4,14.4,145,11.153846153846153
260,com.google.javascript.jscomp.testing.SimpleSourceExcerptProvider,2,1,4,1,1,0,0,1,2,14.0,105,52.5
261,com.google.javascript.jscomp.webservice.common.Protocol,20,12,33,0,5,1,0,1,16,10.55,322,12.384615384615385
262,com.google.javascript.jscomp.webservice.common.AbstractWebServiceException,3,0,7,0,1,0,0,1,2,12.333333333333334,107,107.0
263,com.google.javascript.jscomp.type.ClosureReverseAbstractInterpreter,20,7,66,0,10,4,0,2,8,11.1,150,2.830188679245283
264,com.google.javascript.jscomp.type.SemanticReverseAbstractInterpreter,25,7,173,0,73,15,0,22,13,14.52,345,1.5972222222222223
265,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter,76,8,187,1,22,6,0,6,25,15.486842105263158,742,4.552147239263804
266,com.google.javascript.jscomp.deps.JsFileParser,5,8,30,0,24,7,1,2,12,11.2,337,9.628571428571428
267,com.google.javascript.jscomp.deps.DepsGenerator,20,12,133,0,19,7,1,3,14,18.25,429,3.9357798165137616
268,com.google.javascript.jscomp.deps.JsFileLineParser,7,11,50,0,46,10,1,1,23,12.0,407,5.5
269,com.google.javascript.jscomp.deps.JsFunctionParser,4,7,23,0,14,4,1,1,10,9.75,209,8.36
270,com.google.javascript.jscomp.deps.PathUtil,6,2,48,0,18,6,0,4,8,13.5,516,11.217391304347826
271,com.google.javascript.jscomp.deps.SimpleDependencyInfo,6,4,13,1,4,1,0,2,7,11.833333333333334,201,22.333333333333332
272,com.google.javascript.jscomp.deps.DepsFileParser,4,5,26,0,15,4,1,1,12,10.5,334,15.904761904761905
273,com.google.javascript.jscomp.deps.SortedDependencies,12,4,89,0,24,7,1,3,8,16.833333333333332,312,4.457142857142857
274,com.google.javascript.jscomp.parsing.JsDocInfoParser,62,20,832,0,463,96,0,18,55,18.080645161290324,1179,1.0806599450045828
275,com.google.javascript.jscomp.parsing.ParserRunner,7,6,43,0,20,1,1,1,3,12.142857142857142,132,3.142857142857143
276,com.google.javascript.jscomp.parsing.JsDocTokenStream,20,19,73,0,92,15,0,23,8,11.35,200,0.8658008658008658
277,com.google.javascript.jscomp.parsing.TypeSafeDispatcher,44,0,100,0,67,8,0,42,2,19.204545454545453,143,2.1343283582089554
278,com.google.javascript.jscomp.parsing.IRFactory,85,19,618,0,88,9,0,86,9,17.564705882352943,951,1.835907335907336
279,com.google.javascript.jscomp.parsing.Config,1,6,6,0,7,2,0,1,10,20.0,170,24.285714285714285
280,com.google.javascript.jscomp.parsing.NullErrorReporter,7,0,7,0,1,0,0,1,2,8.285714285714286,103,20.6
